Experiment	STML
9.6395936e-12	1.0	2.8620942e-08	-3.1165595e-08	5.21031645e-09	43200000	14.0	577.8060586910279
9.443344124999999e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.400463375e-08	43500000	-9.0	578.2315929055667
9.2519705e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.3377611750000004e-08	43800000	27.0	578.6571193058472
-5.578144957500001e-11	1.0	2.8620942e-08	-3.1165595e-08	6.180815750000004e-09	44100000	4.0	579.0826378861295
9.206477625000001e-12	1.0	2.8620942e-08	-3.1165595e-08	8.247718949999999e-08	44400000	9.0	579.5081486406732
1.2130131250000001e-11	1.0	2.8620942e-08	-3.1165595e-08	5.97096035e-08	44700000	13.0	579.9336515637369
1.121953625e-11	1.0	2.8620942e-08	-3.1165595e-08	3.509055275e-08	45000000	8.0	580.3591466495809
9.624674725e-12	1.0	2.8620942e-08	-3.1165595e-08	6.55656495e-09	45300000	2.0	580.7846338924656
9.4211351e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.27153345e-08	45600000	-15.0	581.2101132866513
9.2056638e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.2074789e-08	45900000	20.0	581.6355848263988
-5.5356425199999995e-11	1.0	2.8620942e-08	-3.1165595e-08	-2.833823000000004e-09	46200000	22.0	582.0610485059689
8.682776875e-12	1.0	2.8620942e-08	-3.1165595e-08	8.367819500000001e-08	46500000	9.0	582.4865043196234
1.2135237749999999e-11	1.0	2.8620942e-08	-3.1165595e-08	6.141443425e-08	46800000	17.0	582.9119522616234
1.1149421249999999e-11	1.0	2.8620942e-08	-3.1165595e-08	3.6893123750000004e-08	47100000	13.0	583.3373923262312
9.690487125e-12	1.0	2.8620942e-08	-3.1165595e-08	8.430272375e-09	47400000	8.0	583.7628245077087
9.206943375e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.08886174e-08	47700000	9.0	584.1882488003181
9.242668475e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.02925995e-08	48000000	18.0	584.6136651983225
-5.5181339925e-11	1.0	2.8620942e-08	-3.1165595e-08	-2.593333625e-08	48300000	8.0	585.0390736959847
7.407641775e-12	1.0	2.8620942e-08	-3.1165595e-08	8.581915974999999e-08	48600000	7.0	585.4644742875681
1.21511725e-11	1.0	2.8620942e-08	-3.1165595e-08	6.503586475e-08	48900000	24.0	585.8898669673359
1.1357296e-11	1.0	2.8620942e-08	-3.1165595e-08	4.0962634000000003e-08	49200000	10.0	586.3152517295526
9.830258225e-12	1.0	2.8620942e-08	-3.1165595e-08	1.3015592250000002e-08	49500000	8.0	586.7406285684822
9.224478375e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.6264131450000002e-08	49800000	10.0	587.1659974783887
9.245838025000001e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.565993625e-08	50100000	20.0	587.5913584535372
-5.4051176425000006e-11	1.0	2.8620942e-08	-3.1165595e-08	-3.2664458e-08	50400000	22.0	588.0167114881918
7.1956937500000006e-12	1.0	2.8620942e-08	-3.1165595e-08	8.626960474999999e-08	50700000	6.0	588.442056576619
1.21391955e-11	1.0	2.8620942e-08	-3.1165595e-08	6.594548375e-08	51000000	8.0	588.8673937130836
1.1552476000000001e-11	1.0	2.8620942e-08	-3.1165595e-08	4.203234825e-08	51300000	16.0	589.2927228918521
9.986092975000002e-12	1.0	2.8620942e-08	-3.1165595e-08	1.4421747799999999e-08	51600000	12.0	589.7180441071896
9.25816735e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.4803972350000002e-08	51900000	7.0	590.1433573533636
9.2202318e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.420896e-08	52200000	18.0	590.5686626246405
-5.42821119e-11	1.0	2.8620942e-08	-3.1165595e-08	-4.23950955e-08	52500000	13.0	590.9939599152866
7.485550325e-12	1.0	2.8620942e-08	-3.1165595e-08	8.6448976e-08	52800000	11.0	591.4192492195702
1.21513605e-11	1.0	2.8620942e-08	-3.1165595e-08	6.633689075e-08	53100000	3.0	591.8445305317584
1.159199825e-11	1.0	2.8620942e-08	-3.1165595e-08	4.240684275e-08	53400000	23.0	592.2698038461186
9.868951949999998e-12	1.0	2.8620942e-08	-3.1165595e-08	1.4683497425e-08	53700000	15.0	592.6950691569195
9.264638725e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.455587895e-08	54000000	17.0	593.1203264584299
9.221200850000002e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.39452925e-08	54300000	7.0	593.5455757449182
-5.392278682500001e-11	1.0	2.8620942e-08	-3.1165595e-08	-4.06024035e-08	54600000	5.0	593.9708170106531
6.7690258499999995e-12	1.0	2.8620942e-08	-3.1165595e-08	8.68585205e-08	54900000	25.0	594.3960502499039
1.2156945e-11	1.0	2.8620942e-08	-3.1165595e-08	6.724299075e-08	55200000	8.0	594.8212754569408
1.1847407249999999e-11	1.0	2.8620942e-08	-3.1165595e-08	4.330234824999999e-08	55500000	20.0	595.2464926260334
9.9615206e-12	1.0	2.8620942e-08	-3.1165595e-08	1.5576449925e-08	55800000	23.0	595.6717017514517
9.220896175000001e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.3636003000000001e-08	56100000	23.0	596.0969028274661
9.23490885e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.3047212e-08	56400000	20.0	596.5220958483483
-5.4377894925e-11	1.0	2.8620942e-08	-3.1165595e-08	-4.9923091775e-08	56700000	3.0	596.947280808368
7.246915625000001e-12	1.0	2.8620942e-08	-3.1165595e-08	8.706332899999999e-08	57000000	2.0	597.3724577017977
1.21584605e-11	1.0	2.8620942e-08	-3.1165595e-08	6.774887949999999e-08	57300000	26.0	597.7976265229083
1.185061725e-11	1.0	2.8620942e-08	-3.1165595e-08	4.3940155249999996e-08	57600000	13.0	598.2227872659726
9.9286326e-12	1.0	2.8620942e-08	-3.1165595e-08	1.6489699125e-08	57900000	12.0	598.6479399252617
9.257613325e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.2748754875000001e-08	58200000	11.0	599.0730844950491
9.196442225e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.214908075e-08	58500000	11.0	599.4982209696076
-5.4381855049999994e-11	1.0	2.8620942e-08	-3.1165595e-08	-4.8372800750000004e-08	58800000	0.0	599.9233493432099
6.93594675e-12	1.0	2.8620942e-08	-3.1165595e-08	8.7324402e-08	59100000	21.0	600.3484696101295
1.2178678749999998e-11	1.0	2.8620942e-08	-3.1165595e-08	6.84204205e-08	59400000	30.0	600.7735817646402
1.1883789000000002e-11	1.0	2.8620942e-08	-3.1165595e-08	4.473372875e-08	59700000	23.0	601.1986858010162
1.0139220625e-11	1.0	2.8620942e-08	-3.1165595e-08	1.771950405e-08	60000000	0.0	601.6237817135317
9.272353925e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.1468559432500001e-08	60300000	3.0	602.0488694964614
9.2256697e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.0879805e-08	60600000	28.0	602.47394914408
-1.0327891e-11	1.0	2.8620942e-08	-3.1165595e-08	-6.973787575000001e-08	60900000	5.0	602.8990206506631
-3.8478961375e-11	1.0	2.8620942e-08	-3.1165595e-08	8.8381988e-08	61200000	35.0	603.3240840104859
1.2275943250000001e-11	1.0	2.8620942e-08	-3.1165595e-08	7.19191035e-08	61500000	30.0	603.7491392178244
1.19630385e-11	1.0	2.8620942e-08	-3.1165595e-08	4.828693425e-08	61800000	27.0	604.1741862669552
1.0275342000000002e-11	1.0	2.8620942e-08	-3.1165595e-08	2.151334025e-08	62100000	17.0	604.5992251521534
9.3250082e-12	1.0	2.8620942e-08	-3.1165595e-08	-7.6037584e-09	62400000	11.0	605.0242558676966
9.2645258e-12	1.0	2.8620942e-08	-3.1165595e-08	-3.69996975e-08	62700000	9.0	605.4492784078622
9.1824996e-12	1.0	2.8620942e-08	-3.1165595e-08	-6.640237525e-08	63000000	27.0	605.8742927669269
-5.7883906449999996e-11	1.0	2.8620942e-08	-3.1165595e-08	6.529127414999999e-08	63300000	20.0	606.2992989391684
1.24296235e-11	1.0	2.8620942e-08	-3.1165595e-08	7.407664325000001e-08	63600000	13.0	606.7242969188646
1.1973332250000001e-11	1.0	2.8620942e-08	-3.1165595e-08	5.0483065e-08	63900000	29.0	607.1492867002944
1.0433832899999999e-11	1.0	2.8620942e-08	-3.1165595e-08	2.4192890749999998e-08	64200000	19.0	607.5742682777355
9.30694845e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.913812175e-09	64500000	24.0	607.9992416454671
9.253157925e-12	1.0	2.8620942e-08	-3.1165595e-08	-3.4342666e-08	64800000	13.0	608.4242067977682
9.20907665e-12	1.0	2.8620942e-08	-3.1165595e-08	-6.378361225e-08	65100000	32.0	608.8491637289188
-5.737863032499999e-11	1.0	2.8620942e-08	-3.1165595e-08	6.7282690175e-08	65400000	7446.0	609.274112433198
1.248570525e-11	1.0	2.8620942e-08	-3.1165595e-08	7.47710835e-08	65700000	32.0	609.6990529048859
1.1978023e-11	1.0	2.8620942e-08	-3.1165595e-08	5.119752825e-08	66000000	46.0	610.1239851382634
1.0441024875e-11	1.0	2.8620942e-08	-3.1165595e-08	2.501361275e-08	66300000	37.0	610.5489091276106
9.359997375e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.0859148350000006e-09	66600000	26.0	610.9738248672088
9.2834228e-12	1.0	2.8620942e-08	-3.1165595e-08	-3.344077175e-08	66900000	28.0	611.3987323513393
9.20261305e-12	1.0	2.8620942e-08	-3.1165595e-08	-6.2836517e-08	67200000	32.0	611.8236315742835
-5.7817422775e-11	1.0	2.8620942e-08	-3.1165595e-08	5.672133975e-08	67500000	25.0	612.248522530324
1.2346515250000001e-11	1.0	2.8620942e-08	-3.1165595e-08	7.6180507e-08	67800000	24.0	612.6734052137417
1.205994975e-11	1.0	2.8620942e-08	-3.1165595e-08	5.262663975e-08	68100000	18.0	613.0982796188197
1.0564730749999999e-11	1.0	2.8620942e-08	-3.1165595e-08	2.6764795750000002e-08	68400000	31.0	613.5231457398412
9.490001675000001e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.2464645000000003e-09	68700000	6.0	613.9480035710894
9.214274325e-12	1.0	2.8620942e-08	-3.1165595e-08	-3.16263545e-08	69000000	14.0	614.3728531068475
9.2214088e-12	1.0	2.8620942e-08	-3.1165595e-08	-6.104301225e-08	69300000	22.0	614.7976943413987
-5.7520988450000006e-11	1.0	2.8620942e-08	-3.1165595e-08	3.3783116e-08	69600000	20.0	615.2225272690282
1.1394616599999998e-11	1.0	2.8620942e-08	-3.1165595e-08	7.830299225e-08	69900000	16.0	615.6473518840189
1.208547375e-11	1.0	2.8620942e-08	-3.1165595e-08	5.4767525750000005e-08	70200000	21.0	616.072168180657
1.0638648000000001e-11	1.0	2.8620942e-08	-3.1165595e-08	2.93961585e-08	70500000	32.0	616.4969761532269
9.551518875e-12	1.0	2.8620942e-08	-3.1165595e-08	5.210153749999997e-10	70800000	17.0	616.9217757960137
9.232805700000001e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.8865308999999997e-08	71100000	27.0	617.346567103303
9.2280803e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.8240537749999996e-08	71400000	17.0	617.7713500693808
-5.6553001150000003e-11	1.0	2.8620942e-08	-3.1165595e-08	2.4215305425e-08	71700000	32.0	618.1961246885337
1.0077085475000001e-11	1.0	2.8620942e-08	-3.1165595e-08	8.087827675e-08	72000000	28.0	618.6208909550484
1.2130957999999998e-11	1.0	2.8620942e-08	-3.1165595e-08	5.767977650000001e-08	72300000	27.0	619.0456488632109
1.079913975e-11	1.0	2.8620942e-08	-3.1165595e-08	3.25053415e-08	72600000	27.0	619.4703984073087
9.5171763e-12	1.0	2.8620942e-08	-3.1165595e-08	3.653933953175e-09	72900000	29.0	619.8951395816299
9.278931775e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.567868525e-08	73200000	7.0	620.3198723804619
9.202159875e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.5068330249999994e-08	73500000	18.0	620.7445967980925
-5.559219142499999e-11	1.0	2.8620942e-08	-3.1165595e-08	1.503356025e-08	73800000	32.0	621.1693128288109
9.662920974999999e-12	1.0	2.8620942e-08	-3.1165595e-08	8.16688155e-08	74100000	15.0	621.594020466905
1.2136709e-11	1.0	2.8620942e-08	-3.1165595e-08	5.8655582749999994e-08	74400000	29.0	622.0187197066648
1.089531575e-11	1.0	2.8620942e-08	-3.1165595e-08	3.378566125e-08	74700000	20.0	622.4434105423793
9.599415350000001e-12	1.0	2.8620942e-08	-3.1165595e-08	5.0954844e-09	75000000	32.0	622.868092968338
9.2413338e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.4245370749999998e-08	75300000	22.0	623.292766978831
9.234854e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.362397475e-08	75600000	26.0	623.7174325681486
-5.5504798925e-11	1.0	2.8620942e-08	-3.1165595e-08	-8.406723249999999e-09	75900000	24.0	624.1420897305817
8.4238613e-12	1.0	2.8620942e-08	-3.1165595e-08	8.405915424999999e-08	76200000	15.0	624.5667384604211
1.212446925e-11	1.0	2.8620942e-08	-3.1165595e-08	6.198521275e-08	76500000	19.0	624.9913787519587
1.1108744e-11	1.0	2.8620942e-08	-3.1165595e-08	3.754914725e-08	76800000	39.0	625.4160105994852
9.725354625e-12	1.0	2.8620942e-08	-3.1165595e-08	9.159228474999999e-09	77100000	24.0	625.8406339972929
9.228155775e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.0167209675e-08	77400000	22.0	626.2652489396747
9.24189175e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.9568571749999994e-08	77700000	6.0	626.6898554209218
-5.4534162700000007e-11	1.0	2.8620942e-08	-3.1165595e-08	-1.6058530500000003e-08	78000000	25.0	627.1144534353286
7.1379798e-12	1.0	2.8620942e-08	-3.1165595e-08	8.570263424999999e-08	78300000	31.0	627.5390429771874
1.213866775e-11	1.0	2.8620942e-08	-3.1165595e-08	6.48069555e-08	78600000	41.0	627.9636240407923
1.1483713e-11	1.0	2.8620942e-08	-3.1165595e-08	4.0781653749999996e-08	78900000	26.0	628.3881966204367
9.918328825e-12	1.0	2.8620942e-08	-3.1165595e-08	1.2872765225e-08	79200000	13.0	628.8127607104148
9.256144700000001e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.6359441424999998e-08	79500000	38.0	629.2373163050214
9.242616875e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.5765670500000003e-08	79800000	29.0	629.6618633985514
-5.4338927475000005e-11	1.0	2.8620942e-08	-3.1165595e-08	-3.741896775e-08	80100000	13.0	630.0864019852996
7.01069335e-12	1.0	2.8620942e-08	-3.1165595e-08	8.653328725000001e-08	80400000	9.0	630.5109320595622
1.213564475e-11	1.0	2.8620942e-08	-3.1165595e-08	6.649795649999999e-08	80700000	28.0	630.9354536156342
1.159209175e-11	1.0	2.8620942e-08	-3.1165595e-08	4.26159195e-08	81000000	16.0	631.359966647812
9.942677000000001e-12	1.0	2.8620942e-08	-3.1165595e-08	1.5037633250000002e-08	81300000	8.0	631.7844711503922
9.2358929e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.41868106e-08	81600000	29.0	632.2089671176716
9.23116835e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.3579032000000006e-08	81900000	8.0	632.6334545439472
-5.566579537500001e-11	1.0	2.8620942e-08	-3.1165595e-08	-5.8599212249999997e-08	82200000	28.0	633.0579334235161
7.395402849999999e-12	1.0	2.8620942e-08	-3.1165595e-08	8.784126850000001e-08	82500000	22.0	633.482403750677
1.219671625e-11	1.0	2.8620942e-08	-3.1165595e-08	6.99285855e-08	82800000	43.0	633.906865519727
1.1629424250000002e-11	1.0	2.8620942e-08	-3.1165595e-08	4.62206655e-08	83100000	43.0	634.3313187249652
1.0081036050000001e-11	1.0	2.8620942e-08	-3.1165595e-08	1.9258095025000002e-08	83400000	33.0	634.75576336069
9.225092675e-12	1.0	2.8620942e-08	-3.1165595e-08	-9.952248724999999e-09	83700000	719.0	635.1801994212007
9.241383075e-12	1.0	2.8620942e-08	-3.1165595e-08	-3.9337693e-08	84000000	6647.0	635.6046269007965
9.22118045e-12	1.0	2.8620942e-08	-3.1165595e-08	-6.8742723e-08	84300000	18.0	636.0290457937775
-5.77576356e-11	1.0	2.8620942e-08	-3.1165595e-08	7.825811550000001e-08	84600000	6.0	636.4534560944431
1.2348554e-11	1.0	2.8620942e-08	-3.1165595e-08	7.318726575e-08	84900000	9.0	636.8778577970946
1.182971325e-11	1.0	2.8620942e-08	-3.1165595e-08	4.9568882499999996e-08	85200000	34.0	637.3022508960318
1.0203056174999999e-11	1.0	2.8620942e-08	-3.1165595e-08	2.3050969499999998e-08	85500000	30.0	637.7266353855564
9.2999727e-12	1.0	2.8620942e-08	-3.1165595e-08	-6.111223675000001e-09	85800000	35.0	638.1510112599694
9.2631597e-12	1.0	2.8620942e-08	-3.1165595e-08	-3.54870765e-08	86100000	14.0	638.5753785135724
9.222247975e-12	1.0	2.8620942e-08	-3.1165595e-08	-6.487717575000001e-08	86400000	28.0	638.9997371406682
-5.743101837500001e-11	1.0	2.8620942e-08	-3.1165595e-08	6.827757984999999e-08	86700000	35.0	639.4240871355587
1.2467253750000001e-11	1.0	2.8620942e-08	-3.1165595e-08	7.452377375000001e-08	87000000	32.0	639.8484284925469
1.19588235e-11	1.0	2.8620942e-08	-3.1165595e-08	5.0946047250000004e-08	87300000	17.0	640.2727612059352
1.0534100775000001e-11	1.0	2.8620942e-08	-3.1165595e-08	2.4806815499999997e-08	87600000	9.0	640.6970852700274
9.420668e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.278359472500001e-09	87900000	31.0	641.1214006791274
9.266374349999998e-12	1.0	2.8620942e-08	-3.1165595e-08	-3.3647964e-08	88200000	33.0	641.5457074275388
9.218747275e-12	1.0	2.8620942e-08	-3.1165595e-08	-6.302641774999999e-08	88500000	35.0	641.9700055095664
-5.7979156675e-11	1.0	2.8620942e-08	-3.1165595e-08	5.7858461249999993e-08	88800000	30.0	642.3942949195146
1.22169765e-11	1.0	2.8620942e-08	-3.1165595e-08	7.644455049999999e-08	89100000	6.0	642.8185756516884
1.199499875e-11	1.0	2.8620942e-08	-3.1165595e-08	5.288343375e-08	89400000	33.0	643.2428477003938
1.0521502975e-11	1.0	2.8620942e-08	-3.1165595e-08	2.7006919749999998e-08	89700000	8.0	643.6671110599361
9.3712618e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.05850685e-09	90000000	6.0	644.0913657246209
9.228659725000001e-12	1.0	2.8620942e-08	-3.1165595e-08	-3.146926725e-08	90300000	25.0	644.5156116887556
9.2095832e-12	1.0	2.8620942e-08	-3.1165595e-08	-6.087109775e-08	90600000	14.0	644.939848946646
-5.724676124999999e-11	1.0	2.8620942e-08	-3.1165595e-08	3.5407266499999995e-08	90900000	29.0	645.3640774925999
1.0892690225e-11	1.0	2.8620942e-08	-3.1165595e-08	7.9341106e-08	91200000	13.0	645.7882973209239
1.21190835e-11	1.0	2.8620942e-08	-3.1165595e-08	5.5903666750000004e-08	91500000	26.0	646.2125084259267
1.07947655e-11	1.0	2.8620942e-08	-3.1165595e-08	3.0598259e-08	91800000	24.0	646.6367108019156
9.5511268e-12	1.0	2.8620942e-08	-3.1165595e-08	1.7079540500000005e-09	92100000	30.0	647.0609044431997
9.23151335e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.7666646e-08	92400000	24.0	647.4850893440872
9.2037493e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.708707825e-08	92700000	29.0	647.9092654988875
-5.6195833025e-11	1.0	2.8620942e-08	-3.1165595e-08	2.5822606232499998e-08	93000000	42.0	648.3334329019098
1.0160271125e-11	1.0	2.8620942e-08	-3.1165595e-08	8.060873049999999e-08	93300000	39.0	648.7575915474638
1.211386075e-11	1.0	2.8620942e-08	-3.1165595e-08	5.7335681e-08	93600000	35.0	649.1817414298606
1.0840989e-11	1.0	2.8620942e-08	-3.1165595e-08	3.2124158e-08	93900000	24.0	649.6058825434093
9.56819715e-12	1.0	2.8620942e-08	-3.1165595e-08	3.25128297e-09	94200000	33.0	650.0300148824219
9.361679599999999e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.60616815e-08	94500000	35.0	650.4541384412084
9.205967374999999e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.5434894999999996e-08	94800000	29.0	650.8782532140812
-5.5848551225e-11	1.0	2.8620942e-08	-3.1165595e-08	1.565436925e-08	95100000	16.0	651.3023591953515
1.0091855325e-11	1.0	2.8620942e-08	-3.1165595e-08	8.085264525e-08	95400000	39.0	651.7264563793324
1.2133589249999999e-11	1.0	2.8620942e-08	-3.1165595e-08	5.7645537e-08	95700000	23.0	652.1505447603356
1.090040625e-11	1.0	2.8620942e-08	-3.1165595e-08	3.255470875e-08	96000000	27.0	652.5746243326739
9.56130985e-12	1.0	2.8620942e-08	-3.1165595e-08	3.7668965725e-09	96300000	13.0	652.9986950906612
9.1915618e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.558714175e-08	96600000	29.0	653.4227570286104
9.21841185e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.4980977999999994e-08	96900000	39.0	653.8468101408354
-5.572859777499999e-11	1.0	2.8620942e-08	-3.1165595e-08	1.7015858e-08	97200000	-5.0	654.2708544216514
8.98996075e-12	1.0	2.8620942e-08	-3.1165595e-08	8.274200874999999e-08	97500000	29.0	654.6948898653719
1.212376325e-11	1.0	2.8620942e-08	-3.1165595e-08	6.006655874999999e-08	97800000	17.0	655.1189164663123
1.0984237e-11	1.0	2.8620942e-08	-3.1165595e-08	3.5382396e-08	98100000	26.0	655.5429342187877
9.689657375000001e-12	1.0	2.8620942e-08	-3.1165595e-08	6.819389950000001e-09	98400000	37.0	655.9669431171142
9.286052175000001e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.2494334249999998e-08	98700000	35.0	656.390943155607
9.243063125e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.1885326249999997e-08	99000000	27.0	656.814934328583
-5.5403991475e-11	1.0	2.8620942e-08	-3.1165595e-08	-4.276413000000004e-09	99300000	5772.0	657.2389166303591
8.551906750000001e-12	1.0	2.8620942e-08	-3.1165595e-08	8.392660250000001e-08	99600000	4689.0	657.6628900552513
1.2128049250000001e-11	1.0	2.8620942e-08	-3.1165595e-08	6.1792056e-08	99900000	1512.0	658.0868545975783
1.142943675e-11	1.0	2.8620942e-08	-3.1165595e-08	3.7436736500000003e-08	100200000	13.0	658.5108102516565
9.844160300000001e-12	1.0	2.8620942e-08	-3.1165595e-08	9.14352155e-09	100500000	27.0	658.934757011805
9.2476161e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.012530185e-08	100800000	23.0	659.3586948723422
9.243214924999999e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.952696125e-08	101100000	34.0	659.7826238275861
-5.526428414999999e-11	1.0	2.8620942e-08	-3.1165595e-08	-2.618572475e-08	101400000	35.0	660.206543871856
7.984629e-12	1.0	2.8620942e-08	-3.1165595e-08	8.519128875e-08	101700000	13.0	660.630454999472
1.212642225e-11	1.0	2.8620942e-08	-3.1165595e-08	6.385883125e-08	102000000	40.0	661.0543572047534
1.146628125e-11	1.0	2.8620942e-08	-3.1165595e-08	3.9592906e-08	102300000	29.0	661.4782504820205
9.795323100000001e-12	1.0	2.8620942e-08	-3.1165595e-08	1.1393961222500001e-08	102600000	34.0	661.9021348255942
9.224824674999999e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.790128395e-08	102900000	41.0	662.3260102297945
9.20341385e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.7311248999999996e-08	103200000	24.0	662.7498766889436
-5.42331025e-11	1.0	2.8620942e-08	-3.1165595e-08	-2.305267325e-08	103500000	19.0	663.1737341973625
7.5324382e-12	1.0	2.8620942e-08	-3.1165595e-08	8.555733725e-08	103800000	27.0	663.597582749373
1.2129332000000002e-11	1.0	2.8620942e-08	-3.1165595e-08	6.45244915e-08	104100000	11.0	664.0214223392982
1.1389484e-11	1.0	2.8620942e-08	-3.1165595e-08	4.020234625e-08	104400000	-2.0	664.4452529614598
9.804197525e-12	1.0	2.8620942e-08	-3.1165595e-08	1.1932424225e-08	104700000	43.0	664.8690746101815
9.285330749999999e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.73613548e-08	105000000	36.0	665.2928872797862
9.336805400000001e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.67192195e-08	105300000	24.0	665.7166909645981
-5.4447521975e-11	1.0	2.8620942e-08	-3.1165595e-08	-3.3857995249999994e-08	105600000	49.0	666.1404856589411
6.4304669e-12	1.0	2.8620942e-08	-3.1165595e-08	8.695204750000001e-08	105900000	17.0	666.5642713571392
1.2142272250000001e-11	1.0	2.8620942e-08	-3.1165595e-08	6.7465634e-08	106200000	17.0	666.9880480535173
1.1698792e-11	1.0	2.8620942e-08	-3.1165595e-08	4.3623458499999995e-08	106500000	8.0	667.4118157424014
9.965514225e-12	1.0	2.8620942e-08	-3.1165595e-08	1.6198897575e-08	106800000	34.0	667.835574418116
9.264131149999999e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.3054203275e-08	107100000	45.0	668.2593240749876
9.242078025e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.2475472e-08	107400000	33.0	668.6830647073416
-5.7941656975e-11	1.0	2.8620942e-08	-3.1165595e-08	-6.581933925e-08	107700000	34.0	669.1067963095055
9.4510094e-12	1.0	2.8620942e-08	-3.1165595e-08	8.808749475e-08	108000000	35.0	669.5305188758057
1.2227093499999999e-11	1.0	2.8620942e-08	-3.1165595e-08	7.07555525e-08	108300000	35.0	669.9542324005696
1.1872425250000001e-11	1.0	2.8620942e-08	-3.1165595e-08	4.702881275e-08	108600000	13.0	670.3779368781248
1.0119163224999999e-11	1.0	2.8620942e-08	-3.1165595e-08	1.9954553925e-08	108900000	40.0	670.8016323027999
9.2607972e-12	1.0	2.8620942e-08	-3.1165595e-08	-9.2315779e-09	109200000	18.0	671.2253186689225
9.237881925e-12	1.0	2.8620942e-08	-3.1165595e-08	-3.86382485e-08	109500000	24.0	671.6489959708216
9.22132075e-12	1.0	2.8620942e-08	-3.1165595e-08	-6.802824175e-08	109800000	8.0	672.0726642028263
-5.829935485e-11	1.0	2.8620942e-08	-3.1165595e-08	7.217904e-08	110100000	35.0	672.4963233592663
1.2417371999999999e-11	1.0	2.8620942e-08	-3.1165595e-08	7.412569025e-08	110400000	3.0	672.9199734344712
1.19130225e-11	1.0	2.8620942e-08	-3.1165595e-08	5.052961875e-08	110700000	13.0	673.3436144227708
1.0477319875e-11	1.0	2.8620942e-08	-3.1165595e-08	2.4280413e-08	111000000	22.0	673.7672463184963
9.353896125e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.794483549999999e-09	111300000	41.0	674.1908691159786
9.268107325000001e-12	1.0	2.8620942e-08	-3.1165595e-08	-3.418287375e-08	111600000	37.0	674.6144828095483
9.229646775e-12	1.0	2.8620942e-08	-3.1165595e-08	-6.355171425000001e-08	111900000	35.0	675.0380873935377
-5.778600092499999e-11	1.0	2.8620942e-08	-3.1165595e-08	6.124146475e-08	112200000	27.0	675.4616828622784
1.246710975e-11	1.0	2.8620942e-08	-3.1165595e-08	7.593278725e-08	112500000	19.0	675.8852692101029
1.1897766999999999e-11	1.0	2.8620942e-08	-3.1165595e-08	5.2349060499999996e-08	112800000	36.0	676.3088464313443
1.0495026125e-11	1.0	2.8620942e-08	-3.1165595e-08	2.6093069e-08	113100000	28.0	676.7324145203354
9.380488600000002e-12	1.0	2.8620942e-08	-3.1165595e-08	-3.0100704425e-09	113400000	31.0	677.1559734714091
